CE205#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Anjan Dutta#21 Apr, 2021 ( 09:00 to 12:00 )
CE212#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Indu Siva Ranjani Gandhi#
CE214#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Subashisa Dutta#
CE220#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Bimlesh Kumar#22 Apr, 2021 ( 09:00 to 12:00 )
CE221#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Bimlesh Kumar#
CE215#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Baleshwar Singh#
CE222#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pranab Kumar Ghosh#23 Apr, 2021 ( 09:00 to 12:00 )
CE223#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Ajay Kalamdhad#
CE201#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ajay  Dashora#24 Apr, 2021 ( 09:00 to 12:00 )
CE208#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Rishikesh  Bharti#
CE213#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ajay  Dashora#
CE309#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Arbind  Kumar Singh#21 Apr, 2021 ( 14:00 to 17:00 )
CE308#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Johan Ninan#22 Apr, 2021 ( 14:00 to 17:00 )
CE321#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sreeja Pekkat#
CE313#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Baleshwar Singh#
CE314#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajan Choudhary#
CE322#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Akhilesh Kumar Maurya#23 Apr, 2021 ( 14:00 to 17:00 )
CE323#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Anjan Kumar Siddagangaiah#
CE504#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Hrishikesh Sharma#21 Apr, 2021 ( 09:00 to 12:00 )
CE511#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Kaustubh Dasgupta#
CE512#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sajal  Kanti Deb#
CE606#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sandip  Das#23 Apr, 2021 ( 09:00 to 12:00 )
CE615#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Hemant B. Kaushik#22 Apr, 2021 ( 14:00 to 17:00 )
CE619#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Amit  Balasaheb Shelke#26 Apr, 2021 ( 09:00 to 12:00 )
CE514#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sudip Talukdar#27 Apr, 2021 ( 09:00 to 12:00 )
CE608#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arunasis Chakraborty#28 Apr, 2021 ( 09:00 to 12:00 )
CE510#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Johan Ninan#23 Apr, 2021 ( 09:00 to 12:00 )
CE544#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Laishram Boeing Singh#
CE612#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Bulu Pradhan#
CE614#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Laishram Boeing Singh#22 Apr, 2021 ( 09:00 to 12:00 )
CE552#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Arup  Kumar Sarma#28 Apr, 2021 ( 09:00 to 12:00 )
CE623#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajan Choudhary#26 Apr, 2021 ( 09:00 to 12:00 )
CE555#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chandan Mahanta#21 Apr, 2021 ( 09:00 to 12:00 )
CE556#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Suresh Arvindakshan Kartha#22 Apr, 2021 ( 09:00 to 12:00 )
CE562#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sreeja Pekkat#26 Apr, 2021 ( 09:00 to 12:00 )
CE559#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Subashisa Dutta#27 Apr, 2021 ( 09:00 to 12:00 )
CE560#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Gautam_ Barua#26 Apr, 2021 ( 14:00 to 17:00 )
CE515#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajib Kumar Bhattacharjya#28 Apr, 2021 ( 14:00 to 17:00 )
CE533#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Anil Kumar Mishra#21 Apr, 2021 ( 09:00 to 12:00 )
CE534#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Abhishek  Kumar#
CE618#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Tadikonda Venkata Bharat#22 Apr, 2021 ( 14:00 to 17:00 )
CE641#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arindam#23 Apr, 2021 ( 09:00 to 12:00 )
CE646#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sreedeep Sekharan#24 Apr, 2021 ( 14:00 to 17:00 )
CE583#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Teiborlang Lyngdoh Ryntathiang#21 Apr, 2021 ( 09:00 to 12:00 )
CE584#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Akhilesh Kumar Maurya#22 Apr, 2021 ( 09:00 to 12:00 )
CE585#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chunchu Mallikarjuna#
CE628#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chunchu Mallikarjuna#24 Apr, 2021 ( 09:00 to 12:00 )
CE521#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pranab Kumar Ghosh#
CE523#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sharad Bhaurao Gokhale#
CE524#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Mohammad Jawed#21 Apr, 2021 ( 09:00 to 12:00 )
CE525#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Ajay Kalamdhad#22 Apr, 2021 ( 09:00 to 12:00 )
CE661#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sharad Bhaurao Gokhale#28 Apr, 2021 ( 09:00 to 12:00 )
CE664#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Saswati Chakraborty#24 Apr, 2021 ( 09:00 to 12:00 )
CE594#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Rishikesh  Bharti#23 Apr, 2021 ( 09:00 to 12:00 )
CE595#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Chandan Mahanta#22 Apr, 2021 ( 09:00 to 12:00 )
CE499#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dupccivil#
CE699#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE550#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE691#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE697#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE695#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE693#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE599#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dppccivil#
CE324#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Budhaditya  Hazra#24 Apr, 2021 ( 14:00 to 17:00 )
CE402#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#dupccivil#
ME221#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Dr. Atul K Soti#21 Apr, 2021 ( 09:00 to 12:00 )
ME223#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arup Kumar Nandy#23 Apr, 2021 ( 09:00 to 12:00 )
ME224#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sajan Kapil#26 Apr, 2021 ( 09:00 to 12:00 )
ME225#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Sri Biranchi Panda#
ME226#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sandeep Reddy Basireddy#
ME215#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Debabrata Chakraborty#
ME216#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shubhadeep Mandal#
ME202M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Shyamanta Moni Hazarika#27 Apr, 2021 ( 09:00 to 12:00 )
ME321#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pranab Kumar Mondal#22 Apr, 2021 ( 14:00 to 17:00 )
ME322#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Poonam Kumari#26 Apr, 2021 ( 14:00 to 17:00 )
ME323#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Sri Biranchi Panda#23 Apr, 2021 ( 14:00 to 17:00 )
ME324#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manas Das#24 Apr, 2021 ( 14:00 to 17:00 )
ME325#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Satyajit Panda#27 Apr, 2021 ( 14:00 to 17:00 )
ME326#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Amaresh Dalal#
ME315#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shrikrishna Nandkishor Joshi#
ME412#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manas Das#
ME421#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Deepak Sharma#24 Apr, 2021 ( 09:00 to 12:00 )
ME511#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Prasenjit   Khanikar#24 Apr, 2021 ( 14:00 to 17:00 )
ME513#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ramabadran Ganesh Narayanan#27 Apr, 2021 ( 14:00 to 17:00 )
ME515#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sajan Kapil#
ME522#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Amaresh Dalal#27 Apr, 2021 ( 14:00 to 17:00 )
ME541#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sachin  Singh Gautam#23 Apr, 2021 ( 09:00 to 12:00 )
ME542#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Atanu Banerjee#24 Apr, 2021 ( 14:00 to 17:00 )
ME544#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Madhusudhana Rao Gavara#
ME552#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Vinayak Narayan Kulkarni#24 Apr, 2021 ( 14:00 to 17:00 )
ME553#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Bhaskar Kumar#26 Apr, 2021 ( 09:00 to 12:00 )
ME554#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Ujjwal Kumar Saha#22 Apr, 2021 ( 09:00 to 12:00 )
ME605#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. K S R Krishna Murthy#26 Apr, 2021 ( 09:00 to 12:00 )
ME607#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Debabrata Chakraborty#22 Apr, 2021 ( 09:00 to 12:00 )
ME608#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shrikrishna Nandkishor Joshi#21 Apr, 2021 ( 09:00 to 12:00 )
ME615#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Rajiv Tiwari#27 Apr, 2021 ( 14:00 to 17:00 )
ME619#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shubhadeep Mandal#26 Apr, 2021 ( 09:00 to 12:00 )
ME621#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. P.  Muthukumar#23 Apr, 2021 ( 09:00 to 12:00 )
ME628#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Swarup Bag#22 Apr, 2021 ( 09:00 to 12:00 )
ME648#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Anoop Kumar Dass#21 Apr, 2021 ( 09:00 to 12:00 )
ME657#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Manmohan Pandey#23 Apr, 2021 ( 09:00 to 12:00 )
ME670#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Madhusudhana Rao Gavara#22 Apr, 2021 ( 09:00 to 12:00 )
ME671#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Subramani Kanagaraj#27 Apr, 2021 ( 09:00 to 12:00 )
ME674#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sukhomay  Pal#27 Apr, 2021 ( 09:00 to 12:00 )
ME683#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Tapan Krishnakumar Mankodi#21 Apr, 2021 ( 09:00 to 12:00 )
ME612#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Dipankar Narayan Basu#26 Apr, 2021 ( 09:00 to 12:00 )
ME499#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arnab Kr. De#
ME399#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Poonam Kumari#
ME504#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Satyajit Panda#
ME505#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Satyajit Panda#
CS205#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Purandar Bhaduri#21 Apr, 2021 ( 09:00 to 12:00 )
CS207#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sushanta Karmakar#22 Apr, 2021 ( 09:00 to 12:00 )
CS223#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Jatindra Kumar Deka#24 Apr, 2021 ( 09:00 to 12:00 )
CS224#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Hemangee Kalpesh Kapoor#
CS245#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. V Vijaya Saradhi#23 Apr, 2021 ( 09:00 to 12:00 )
CS246#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. V Vijaya Saradhi#
CS206M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Benny George Kenkireth#27 Apr, 2021 ( 09:00 to 12:00 )
CS345#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Samit Bhattacharya#26 Apr, 2021 ( 14:00 to 17:00 )
CS346#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Samit Bhattacharya#
CS361#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Arijit  Sur#21 Apr, 2021 ( 14:00 to 17:00 )
CS350M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Tamarapalli Venkatesh#28 Apr, 2021 ( 14:00 to 17:00 )
CS499#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Unspecified#
CS558#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manas Khatua#
CS699#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Unspecified#
CS595#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Ashish  Anand#
CS501#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sajith Gopalan#21 Apr, 2021 ( 09:00 to 12:00 )
CS502#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Seela Veerabhadreswara Rao#23 Apr, 2021 ( 14:00 to 17:00 )
CS508#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Benny George Kenkireth#23 Apr, 2021 ( 09:00 to 12:00 )
CS544#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manas Khatua#22 Apr, 2021 ( 14:00 to 17:00 )
CS549#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Sukumar Nandi#22 Apr, 2021 ( 09:00 to 12:00 )
CS577#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Chandan  Karfa#27 Apr, 2021 ( 09:00 to 12:00 )
CS529#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sanasam Ranbir Singh#24 Apr, 2021 ( 14:00 to 17:00 )
CS568#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Amit Chintamani Awekar#27 Apr, 2021 ( 14:00 to 17:00 )
CS348#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pinaki Mitra#
CS331#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Aryabartta Sahu#
DS699#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Unspecified#
DD212#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sheetal Madhav Gokhale#
DD213#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pradeep G. Yammiyavar#22 Apr, 2021 ( 14:00 to 17:00 )
DD214#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sougata Karmakar#
DD215#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sougata Karmakar#24 Apr, 2021 ( 14:00 to 17:00 )
DD216#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Pankaj Upadhyay#
DD220M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Urmi  Ravindra Salve#27 Apr, 2021 ( 09:00 to 12:00 )
DD201#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Shareka Iqbal#
DD311#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pratul Chandra Kalita#21 Apr, 2021 ( 09:00 to 12:00 )
DD312#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shakuntala Acharya#22 Apr, 2021 ( 09:00 to 12:00 )
DD398#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Shakuntala Acharya#
DD324#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sharmistha Banerjee#24 Apr, 2021 ( 09:00 to 12:00 )
DD325#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manoj Majhi#
DD326#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Abhishek  Singh#
DD320M#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Shareka Iqbal#28 Apr, 2021 ( 14:00 to 17:00 )
DD321#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Supradip  Das#28 Apr, 2021 ( 09:00 to 12:00 )
DD322#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Manoj Majhi#
DD411#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Pratul Chandra Kalita#21 Apr, 2021 ( 14:00 to 17:00 )
DD499#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Ms Sheetal Madhav Gokhale#
DD505#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Supradip  Das#
DD506#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Utpal Barua#
DD507#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Abhishek Shrivastava#
DD605#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Udaya Kumar Dharmalingam#
DD509#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Keyur Babulal Sorathia#21 Apr, 2021 ( 09:00 to 12:00 )
DD516#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Sougata Karmakar#23 Apr, 2021 ( 14:00 to 17:00 )
DD517#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Mr Abhishek  Singh#26 Apr, 2021 ( 14:00 to 17:00 )
DD534#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Keyur Babulal Sorathia#27 Apr, 2021 ( 14:00 to 17:00 )
DD602#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Dr. Debayan  Dhar#28 Apr, 2021 ( 14:00 to 17:00 )
DD604#05 Jan, 2021#21 Apr, 2021#28 Apr, 2021#Prof. Pradeep G. Yammiyavar#22 Apr, 2021 ( 09:00 to 12:00 )
